group	files	condition
nob-2024-07-05-19-19-45	['assets/data/raw/nob-2024-07-05-19-19-45-image-0.png', 'assets/data/raw/nob-2024-07-05-19-19-45-image-1.png', 'assets/data/raw/nob-2024-07-05-19-19-45-image-2.png']	0
sob-2024-07-05-19-22-52	['assets/data/raw/sob-2024-07-05-19-22-52-image-0.png', 'assets/data/raw/sob-2024-07-05-19-22-52-image-1.png', 'assets/data/raw/sob-2024-07-05-19-22-52-image-2.png']	0
nlm-2024-07-06-18-40-00	['assets/data/raw/nlm-2024-07-06-18-40-00-image-1.png', 'assets/data/raw/nlm-2024-07-06-18-40-00-image-0.png', 'assets/data/raw/nlm-2024-07-06-18-40-00-image-2.png']	1
nob-2024-07-09-16-35-42	['assets/data/raw/nob-2024-07-09-16-35-42-image-1.png', 'assets/data/raw/nob-2024-07-09-16-35-42-image-0.png', 'assets/data/raw/nob-2024-07-09-16-35-42-image-2.png']	0
nlm-2024-07-08-10-43-39	['assets/data/raw/nlm-2024-07-08-10-43-39-image-0.png', 'assets/data/raw/nlm-2024-07-08-10-43-39-image-1.png', 'assets/data/raw/nlm-2024-07-08-10-43-39-image-2.png']	0
nob-2024-07-05-19-34-28	['assets/data/raw/nob-2024-07-05-19-34-28-image-2.png', 'assets/data/raw/nob-2024-07-05-19-34-28-image-0.png', 'assets/data/raw/nob-2024-07-05-19-34-28-image-1.png']	0
slm-2024-07-07-09-53-53	['assets/data/raw/slm-2024-07-07-09-53-53-image-2.png', 'assets/data/raw/slm-2024-07-07-09-53-53-image-0.png', 'assets/data/raw/slm-2024-07-07-09-53-53-image-1.png']	0
sob-2024-07-05-19-34-28	['assets/data/raw/sob-2024-07-05-19-34-28-image-0.png', 'assets/data/raw/sob-2024-07-05-19-34-28-image-1.png', 'assets/data/raw/sob-2024-07-05-19-34-28-image-2.png']	0
sob-2024-07-09-16-35-42	['assets/data/raw/sob-2024-07-09-16-35-42-image-2.png', 'assets/data/raw/sob-2024-07-09-16-35-42-image-1.png', 'assets/data/raw/sob-2024-07-09-16-35-42-image-0.png']	0
slm-2024-07-06-18-40-00	['assets/data/raw/slm-2024-07-06-18-40-00-image-2.png', 'assets/data/raw/slm-2024-07-06-18-40-00-image-1.png', 'assets/data/raw/slm-2024-07-06-18-40-00-image-0.png']	0
nlm-2024-07-07-09-53-53	['assets/data/raw/nlm-2024-07-07-09-53-53-image-0.png', 'assets/data/raw/nlm-2024-07-07-09-53-53-image-1.png', 'assets/data/raw/nlm-2024-07-07-09-53-53-image-2.png']	0
sob-2024-07-05-19-19-45	['assets/data/raw/sob-2024-07-05-19-19-45-image-2.png', 'assets/data/raw/sob-2024-07-05-19-19-45-image-0.png', 'assets/data/raw/sob-2024-07-05-19-19-45-image-1.png']	0
nob-2024-07-05-19-22-52	['assets/data/raw/nob-2024-07-05-19-22-52-image-2.png', 'assets/data/raw/nob-2024-07-05-19-22-52-image-0.png', 'assets/data/raw/nob-2024-07-05-19-22-52-image-1.png']	0
slm-2024-07-08-10-43-39	['assets/data/raw/slm-2024-07-08-10-43-39-image-2.png', 'assets/data/raw/slm-2024-07-08-10-43-39-image-0.png', 'assets/data/raw/slm-2024-07-08-10-43-39-image-1.png']	0
sob-2024-07-06-10-57-19	['assets/data/raw/sob-2024-07-06-10-57-19-image-1.png', 'assets/data/raw/sob-2024-07-06-10-57-19-image-0.png', 'assets/data/raw/sob-2024-07-06-10-57-19-image-2.png']	0
nob-2024-07-06-11-39-21	['assets/data/raw/nob-2024-07-06-11-39-21-image-0.png', 'assets/data/raw/nob-2024-07-06-11-39-21-image-1.png', 'assets/data/raw/nob-2024-07-06-11-39-21-image-2.png']	0
nob-2024-07-10-11-27-41	['assets/data/raw/nob-2024-07-10-11-27-41-image-1.png', 'assets/data/raw/nob-2024-07-10-11-27-41-image-0.png', 'assets/data/raw/nob-2024-07-10-11-27-41-image-2.png']	0
slm-2024-07-09-09-52-14	['assets/data/raw/slm-2024-07-09-09-52-14-image-2.png', 'assets/data/raw/slm-2024-07-09-09-52-14-image-1.png', 'assets/data/raw/slm-2024-07-09-09-52-14-image-0.png']	0
nlm-2024-07-05-19-44-02	['assets/data/raw/nlm-2024-07-05-19-44-02-image-1.png', 'assets/data/raw/nlm-2024-07-05-19-44-02-image-0.png', 'assets/data/raw/nlm-2024-07-05-19-44-02-image-2.png']	0
nob-2024-07-05-19-56-47	['assets/data/raw/nob-2024-07-05-19-56-47-image-1.png', 'assets/data/raw/nob-2024-07-05-19-56-47-image-0.png', 'assets/data/raw/nob-2024-07-05-19-56-47-image-2.png']	0
nob-2024-07-07-10-46-00	['assets/data/raw/nob-2024-07-07-10-46-00-image-1.png', 'assets/data/raw/nob-2024-07-07-10-46-00-image-0.png', 'assets/data/raw/nob-2024-07-07-10-46-00-image-2.png']	0
nob-2024-07-09-15-36-31	['assets/data/raw/nob-2024-07-09-15-36-31-image-2.png', 'assets/data/raw/nob-2024-07-09-15-36-31-image-1.png', 'assets/data/raw/nob-2024-07-09-15-36-31-image-0.png']	0
sob-2024-07-05-19-29-05	['assets/data/raw/sob-2024-07-05-19-29-05-image-2.png', 'assets/data/raw/sob-2024-07-05-19-29-05-image-0.png', 'assets/data/raw/sob-2024-07-05-19-29-05-image-1.png']	0
slm-2024-07-09-13-08-21	['assets/data/raw/slm-2024-07-09-13-08-21-image-2.png', 'assets/data/raw/slm-2024-07-09-13-08-21-image-0.png', 'assets/data/raw/slm-2024-07-09-13-08-21-image-1.png']	0
